Sat0_x,Sat1_x,Sat2_x,Sat3_x,Sat0_y,Sat1_y,Sat2_y,Sat3_y
10086.781917967764,9900.623972431253,9739.654246096705,10198.752055137495,10049.688013784375,10173.56383593553,9850.935958646878,9652.87232812894
10086.280707051475,9898.89333175903,9741.157878845572,10202.213336481938,10050.553334120485,10172.561414102953,9848.339997638546,9654.877171794096
10085.770868136382,9897.172801669378,9742.687395590852,10205.654396661244,10051.413599165311,10171.541736272764,9845.759202504067,9656.91652745447
10085.25245220595,9895.462554213867,9744.242643382147,10209.074891572263,10052.268722893066,10170.5049044119,9843.193831320803,9658.990191176197
10084.725511101342,9893.762760415822,9745.823466695974,10212.474479168353,10053.118619792089,10169.451022202684,9840.644140623735,9661.097955594634
10084.190097516226,9892.073590253207,9747.42970745132,10215.852819493588,10053.963204873397,10168.380195032454,9838.110385379809,9663.239609935092
10083.64626499152,9890.395212641626,9749.061205025444,10219.20957471675,10054.802393679187,10167.292529983037,9835.592818962437,9665.414940033925
10083.094067910017,9888.727795417442,9750.717796269952,10222.544409165113,10055.636102291279,10166.188135820033,9833.091693126165,9667.623728359935
10082.533561490967,9887.071505320993,9752.399315527096,10225.856989358013,10056.464247339503,10165.067122981936,9830.60725798149,9669.86575403613
10081.964801784548,9885.426507979904,9754.105594646357,10229.146984040193,10057.286746010048,10163.929603569097,9828.139761969856,9672.140792861808
10081.387845666253,9883.79296789254,9755.83646300124,10232.414064214921,10058.10351605373,10162.775691332507,9825.689451838809,9674.448617334987
10080.802750831215,9882.171048411547,9757.591747506354,10235.657903176907,10058.914475794227,10161.60550166243,9823.25657261732,9676.788996675139
10080.209575788429,9880.560911727522,9759.371272634713,10238.878176544957,10059.71954413624,10160.419151576858,9820.841367591282,9679.161696846282
10079.608379854906,9878.962718852792,9761.174860435283,10242.074562294416,10060.518640573604,10159.21675970981,9818.444078279188,9681.566480580377
10078.999223149736,9877.376629605313,9763.002330550791,10245.246740789373,10061.311685197343,10157.998446299473,9816.06494440797,9684.003107401055
10078.382166588084,9875.802802592689,9764.853500235746,10248.394394814624,10062.098598703657,10156.76433317617,9813.704203889032,9686.47133364766
10077.757271875093,9874.241395196306,9766.728184374722,10251.517209607387,10062.879302401847,10155.514543750185,9811.36209279446,9688.970912499628
10077.12460149971,9872.692563555607,9768.626195500869,10254.614872888787,10063.653718222196,10154.249202999421,9809.038845333409,9691.501594001158
10076.484218728448,9871.156462552462,9770.547343814653,10257.687074895077,10064.421768723769,10152.968437456897,9806.734693828692,9694.063125086204
10075.83618759905,9869.633245795692,9772.491437202847,10260.733508408615,10065.183377102154,10151.6723751981,9804.449868693539,9696.655249603797
10075.180572914089,9868.123065605705,9774.458281257732,10263.75386878859,10065.938467197147,10150.36114582818,9802.184598408558,9699.277708343641
10074.517440234487,9866.626072999261,9776.44767929654,10266.74785400148,10066.68696350037,10149.034880468975,9799.939109498891,9701.930239062052
10073.846855872958,9865.142417674371,9778.459432381123,10269.715164651258,10067.428791162814,10147.693711745918,9797.713626511557,9704.612576508165
10073.168886887383,9863.672247995333,9780.493339337854,10272.655504009334,10068.163876002334,10146.337773774765,9795.508371992999,9707.324452450472
10072.483601074091,9862.21571097789,9782.549196777729,10275.56857804422,10068.892144511055,10144.967202148182,9793.323566466835,9710.065595703638
10071.791066961094,9860.772952274529,9784.626799116717,10278.454095450943,10069.613523862736,10143.58213392219,9791.159428411793,9712.835732155623
10071.091353801228,9859.344116159918,9786.725938596317,10281.311767680165,10070.32794192004,10142.182707602455,9789.016174239878,9715.634584795089
10070.384531565223,9857.929345516479,9788.84640530433,10284.141308967042,10071.035327241761,10140.769063130447,9786.894018274717,9718.461873739105
10069.670670934716,9856.528781820096,9790.987987195851,10286.942436359808,10071.735609089952,10139.341341869433,9784.793172730144,9721.317316261133
10068.949843295175,9855.142565125972,9793.150470114477,10289.714869748057,10072.428717437015,10137.89968659035,9782.713847688958,9724.200626819302
10068.222120728762,9853.770834054621,9795.333637813716,10292.458331890759,10073.11458297269,10136.444241457522,9780.656251081931,9727.111517084955
10067.487576007126,9852.413725778008,9797.53727197862,10295.172548443985,10073.793137110997,10134.975152014253,9778.62058866701,9730.049695971493
10066.74628258413,9851.071376005828,9799.761152247607,10297.857247988344,10074.464311997086,10133.492565168262,9776.607064008742,9733.014869663477
10065.998314588498,9849.74391897194,9802.005056234506,10300.512162056117,10075.12804051403,10131.996629176996,9774.615878457913,9736.006741646008
10065.243746816404,9848.431487420945,9804.268759550785,10303.13702515811,10075.784256289528,10130.48749363281,9772.647231131417,9739.025012734379
10064.482654724,9847.1342125949,9806.552035828,10305.731574810203,10076.432893702551,10128.965309448,9770.701318892348,9742.069381104
10063.715114419858,9845.852224220205,9808.854656740426,10308.295551559588,10077.073887889897,10127.430228839716,9768.77833633031,9745.139542320569
10062.94120265737,9844.585650494635,9811.17639202789,10310.82869901073,10077.707174752682,10125.88240531474,9766.878475741953,9748.235189370522
10062.160996827066,9843.334618074503,9813.5170095188,10313.330763850994,10078.332690962749,10124.321993654134,9765.001927111754,9751.356012691735
10061.37457494888,9842.09925206201,9815.876275153356,10315.80149587598,10078.950373968995,10122.749149897762,9763.148878093014,9754.501700204475
10060.582015664346,9840.879675992726,9818.25395300696,10318.240648014546,10079.560162003636,10121.164031328693,9761.31951398909,9757.671937342615
10059.78339822873,9839.676011823245,9820.649805313811,10320.64797635351,10080.161994088377,10119.56679645746,9759.514017734868,9760.866407085081
