P_sat0,P_sat1,P_sat2,P_sat3,Phi_sat0,Phi_sat1,Phi_sat2,Phi_sat3
14187.788218041507,14177.186369316038,13835.8970090616,13908.775220552367,19112.50940586365,22222.191153350668,22804.19122188037,18921.109538414315
14166.579322727706,14166.480857489341,13811.638798391452,13896.69091240809,19190.633595555533,22109.40099969468,22732.669190804758,18779.94830502373
14172.673176564867,14180.443328058793,13790.739129644813,13878.249342315637,19171.121515431067,22158.76944383603,22767.226268578735,18920.784926577027
14155.813905788456,14149.602232929432,13806.107962079275,13878.977778159691,19175.124279114425,22215.25947712061,22810.11233599146,18869.208601527498
14160.194468800253,14139.695158686387,13783.836511985193,13875.119943614505,19151.001043782442,22202.09498015363,22815.135280755898,18861.965949136644
14121.76972739939,14136.733817948712,13780.28799369154,13864.059592966121,19077.522515264787,22055.122508332224,22806.358814276366,18838.507504118792
14117.658989001884,14122.489877465116,13752.451733518801,13847.03562456159,19139.717551221507,22197.708434982276,22763.6969056859,18842.404027883753
14119.542114014364,14098.542928546281,13750.715982937925,13842.424285803885,19058.021023963294,22093.10189263119,22754.39712425281,18918.148758236934
14125.027274882177,14112.903961502336,13748.742282322244,13861.086387946509,19143.216303561974,22094.98853569869,22801.487279848167,18877.871049223846
14104.52039530027,14099.191915288311,13743.223935269776,13865.510286740706,19175.62522220542,22133.362061858836,22748.088042997788,18955.321738864674
14110.50254579453,14097.492191384352,13750.074352891761,13868.822971338233,19074.093107128436,22156.44062679599,22734.0125299484,18845.767713964102
14085.693078100921,14093.429385733114,13738.736663820646,13862.971795582409,19092.463661030793,22108.080127074692,22742.10444706947,18866.041250273094
14106.611218706134,14099.651108009573,13746.272692267483,13863.935168477597,19053.00370364117,22171.548664996342,22771.803639083704,18832.94717096347
14100.201527041429,14086.267706382163,13744.039878454923,13860.953741384461,19116.493600726568,22088.089141700286,22751.476620197685,18935.72482032227
14093.537121938534,14057.405925117595,13729.29886152452,13865.681659318248,19091.985761649,22085.248247160132,22684.797664445083,18835.55704463724
14101.117332977376,14086.836587790833,13720.045669930918,13849.35837209899,19039.40366855465,22114.890463153475,22636.33999315143,18834.040468824194
14100.76247892425,14089.421546983238,13711.929312322216,13859.565195808842,19089.428890205356,22120.714081619408,22721.04877906284,18946.61604418608
14088.008793835266,14064.182276402656,13696.042923106734,13843.338886097119,19102.000912331547,22078.460089175835,22703.61080459569,18831.80326053774
14076.14527227879,14056.366350991333,13677.347958341772,13841.915654900293,19120.563431766328,22063.35555412414,22620.984357852074,18937.93230840994
14069.105840498027,14026.633702682317,13686.58643974161,13846.119966178168,19091.032980801272,22106.945113733822,22652.428338222802,18913.301463880507
14069.596682205854,14045.994739049389,13674.422775807323,13850.60408464781,19058.419800122378,21915.128254014915,22656.06274300616,18858.55773818841
14070.624632891342,14036.765312674832,13683.332682667422,13869.300124904763,19068.254319207375,21975.14258181158,22693.27886748343,18843.39684706505
14072.94793281002,14032.469079424687,13672.546062864463,13846.471184226142,19121.98376229423,22100.965073080573,22576.29687613291,18792.750954491734
14056.48207699374,14019.725659264423,13665.286534940627,13843.793534331988,19107.16692977035,21990.69549702786,22747.41060801946,18836.50985575266
14029.16125081386,14014.190893506573,13662.198662433808,13845.93635731651,19062.338316546404,22023.006480274562,22682.394971695332,18864.246010189978
14049.080696675015,14023.858294399879,13645.871357895141,13865.310209080319,18955.948537410335,21929.137790483426,22655.91329228069,18877.827454778446
14047.405938185831,14008.099905277903,13663.727344265288,13853.343927857592,19010.047610620015,22040.72079556115,22744.876663804043,18825.983559455373
14047.70386132314,13995.643233630055,13629.671173775834,13861.748970083154,19053.89358389745,22043.6262726157,22714.741422945586,18755.67732030616
14054.302083508246,14009.072766053638,13658.314985607038,13862.194869660574,19050.105526398936,22000.310589863075,22668.734499617578,18945.26279906991
14064.890844590158,13983.486403628787,13650.542530355562,13876.334083775748,19058.84548261304,22036.6051957918,22715.512790909943,18873.620868522994
14049.808411273007,14010.155050299238,13658.463706861148,13887.235660719278,19039.334119319545,22002.889059431105,22627.150314734434,18882.57271398712
14048.16653795744,14010.242997472054,13683.59223313093,13901.672032150695,19047.990423502055,22039.050937854332,22663.191329581106,18920.844700536298
14059.144464334375,13982.162500693572,13652.041778162313,13879.005390580378,19073.04568283219,22015.07928183133,22761.344259393627,18843.6357015653
14063.525827863676,13981.711451727164,13658.406874898832,13863.783211394255,19044.77080176054,22035.430823085022,22653.28141019154,18863.204795076937
14021.176493855239,13967.060399158567,13648.653914622275,13856.536364958747,19033.184329676635,21883.18096801732,22562.95370629555,18753.545802505192
14021.605246750758,13968.273905510601,13639.094373216554,13867.149939078083,18978.35718174006,21945.667455211493,22611.97717677223,18906.262669969215
14002.592844530112,13948.46954131226,13623.337074177127,13862.00449073108,19041.40537378315,21955.73593859938,22543.493691444924,18873.404653784342
14001.322076042463,13945.008904946988,13618.172134553351,13858.366519124485,19007.513648778844,21895.002619741634,22591.432041609554,18827.73865279041
